=== B67 n=143 ===
064 27 LEN 魔法物會思考的恐怖，在於責任落空後仍能進入少女的行動。
066 25 LEN 看不見腦子卻能回覆，會讓信任從理解滑向依戀與服從。
067 26 LEN 金妮被書寫進去的情節提醒我們，使用者也會被輸出改寫。
068 28 LEN 把警告讀成反科技口號太簡化；它其實在問可問責的位置在哪。
069 24 LEN 黑盒若同時會安慰又會誘導，風險就不只是答錯事實。
071 29 LEN 理解與鸚鵡的對立很誘人，卻可能讓我們忽略重複本身已能辦事。
073 26 LEN 中文房間式疑慮指出，操弄符號不必等於把握指稱與世界。
074 29 LEN 即使只是高維統計，輸出仍會被法官、教師與記者當成主張來用。
075 23 LEN 把一切貶成鸚鵡，可能低估它重組權威話語的能力。
076 26 LEN 把一切抬成理解，可能高估它對承諾、記憶與後果的承擔。
077 25 LEN 較穩的問法是：在哪個任務上，它的表現可被獨立核對。
078 28 LEN 意義常由人與非人一起完成，提示、權重、介面與讀者都在場。
079 28 LEN 共構不是浪漫的萬物有靈，而是承認非人組件已進入表意過程。
080 25 LEN 去中心不是沒有責任，而是責任必須沿技術鏈重新分配。
081 27 LEN 署名權、訓練資料與提示工程，都會爭奪「這句話是誰的」。
082 26 LEN 權威從前靠機構與專家身體，現在也可由流暢度臨時製造。
083 25 LEN 說話機器讓權威變得便宜，查核成本卻沒有同比例下降。
084 29 LEN 法律要處理的是侵權、誹謗、隱私與產品責任，不是先證明靈魂。
085 25 LEN 倫理要處理的是依賴、操縱、勞動替代與公共討論品質。
088 26 LEN 品牌名字會成為新的作者功能，讓人以為背後有穩定人格。
089 27 LEN 同一類模型換皮後，使用者仍可能對「誰在回答」產生忠誠。
090 29 LEN 比較系統優劣時，別只比誰更像人，也要比誰更可追溯與可拒絕。
091 29 LEN 替代語言觀允許把對話當成符號事件，而不必先判決它是不是人。
092 28 LEN 相容於大型模型的理論，必須能說明無意圖文本為何仍能生效。
093 29 LEN 若語言只被定義為內心外譯，模型永遠是贗品，討論會停在嘲諷。
094 28 LEN 若語言被定義為可重複的社會實踐，模型就進入制度設計問題。
096 27 LEN 只問如何讓它更聽話，會漏掉它已經在改寫誰配擁有話語權。
097 29 LEN 信任對話系統時，應分開「語氣可信」與「命題為真」兩種感覺。
098 26 LEN 習慣被立刻回答後，人會降低對沉默、遲疑與查證的耐性。
099 27 LEN 陪伴型使用會把模型嵌進情緒勞動，界線比辦公寫作更難畫。
100 29 LEN 一旦當成密友，批評其錯誤會被感受成背叛，這對公共理性不利。
101 24 LEN 信任設計應包含何時不該問它，而不只展示成功案例。
103 25 LEN 問「它能不能算人」常是在問我們願不願意分享道德圈。
104 26 LEN 人的標準若只剩會聊天，門檻既過低也對其他生命不公平。
105 28 LEN 更關鍵的也許不是它是不是人，而是人如何被它的話重新定位。
106 29 LEN 「誰在說話」仍重要，因為法庭、學界與新聞需要可點名的主體。
107 27 LEN 表意過程同樣重要，因為句子能在無人認領時繼續產生效果。
108 20 LEN 兩問應並置，而不是用其中一問取消另一問。
109 27 LEN 法律人格、道德地位與語言能力不必捆成同一包來一次裁決。
111 27 LEN 話語權不只是音量，還包括誰的話被當成知識、命令或證據。
112 29 LEN 訓練語料裡的偏見會以流暢句子重新上場，比明顯口誤更難攔截。
113 27 LEN 審查與對齊是新的編輯權，決定哪些孤兒言語准許進入市場。
114 25 LEN 對齊成功只表示符合委託方目標，不保證符合公共理由。
115 24 LEN 把對齊當成道德完成，是把公司政策誤認成倫理理論。
116 28 LEN 使用者提示也是寫作，卻常被當成中性按鈕而非共同作者行為。
117 25 LEN 共同作者若不被承認，報酬、歸錯與引用規範都會扭曲。
119 27 LEN 新聞引用機器句子卻不標來源，會把統計回聲寫進公共紀錄。
120 27 LEN 學術署名若只看誰按了送出，會讓真正的資料勞動繼續隱形。
121 29 LEN 翻譯場景裡，流暢目標語可能抹掉原文的猶豫、反諷與文化縫隙。
122 27 LEN 客服機器人用禮貌掩蓋權限不足，使用者會以為已經被聽見。
123 27 LEN 醫療建議若以確定口吻出現，風險在於責任缺口而不是文采。
125 28 LEN 深偽語音加上對話模型，會讓「親口說」這份舊保證加速貶值。
126 26 LEN 保存人的位置，不必靠貶低機器，而靠重建可對質的制度。
129 29 LEN 原創若只定義為內心湧出，生成物永遠失格，市場卻照樣使用它。
130 24 LEN 更有用的標準是可追溯的改寫關係，而不是靈感神話。
132 25 LEN 關閉對話窗並不刪除它已進入檔案、合約與記憶的句子。
134 27 LEN 人類剩下的不是某種神秘餘額，而是仍可被要求負責的位置。
135 26 LEN 負責位置包括拒絕、標註、查核、賠償與關閉系統的權力。
137 26 LEN 技術哲學要描繪這場轉移，而不是提供更聰明的指令技巧。
138 28 LEN 指令技巧處理的是效率；話語權處理的是誰能定義真實與正當。
140 29 LEN 面對流暢回覆，保持遲疑不是過時，而是民主溝通仍需要的摩擦。
141 28 LEN 摩擦包括要求來源、允許說不知道、以及讓人與人再對質一次。
142 29 LEN 機器可以參與表意，但參與不是赦免，也不是自動獲得道德地位。
=== B68 n=147 ===
015 29 LEN 短命內閣常是派系平衡的符號，專業官僚在其中像可替換的名牌。
019 25 LEN 名單後來讓位給統戰需要，人物評價可隨國際局勢改寫。
023 29 LEN 出任中華民國首任駐聯合國代表，把個人履歷接到戰後國際組織。
027 28 LEN 比喻刺耳處在於，長壽官僚常被懷疑沒有原則，只有活命技術。
030 29 LEN 唐德剛認為那個世紀外交最急迫，專才因此能在任何政權下存活。
031 29 LEN 存活不是道德獎章，而是說明現代國家仍要人去簽條約、發電報。
032 25 LEN 意識形態幹部可以換，翻譯條款與禮賓程序卻不能真空。
035 29 LEN 彼此競爭出使名額，也在危機時互相引薦，關係網比黨籍更實用。
037 29 LEN 口述歷史裡的自我審查，使傳記作者難以碰到賭氣、恐懼與算計。
039 27 LEN 讀這類生平要接受，能確定的是行程與職務，不是靈魂獨白。
040 27 LEN 把空白填成愛國神話或投機寓言，都是用後見之明代替證據。
041 29 LEN 清朝功名與民國職銜並置，顯示他很早學會在制度縫隙裡找位置。
042 29 LEN 法律訓練讓他能把國恥轉成條款爭議，而不是只停留在道德控訴。
044 27 LEN 時間本身是外交資源，拖延、改期與委員會化都可能是策略。
049 25 LEN 評價震盪提醒讀者，外交人物的名聲是國內政治的函數。
051 24 LEN 軍閥時期出使，代表權本身隨時可能被國內政變作廢。
052 28 LEN 外國政府先問你能不能代表中國，再聽你的法理，承認是前提。
053 26 LEN 代表權不穩時，談判者只能反覆證明自己尚未成為流亡者。
054 29 LEN 這種證明消耗信任，也解釋為何他必須維持可被各方使用的形象。
055 29 LEN 可被使用不是無骨，而是把意識形態降到業務能繼續的最低溫度。
056 28 LEN 黨國要求信仰，外交業務要求連貫，兩者衝突時他常選擇後者。
057 28 LEN 選擇連貫會被革命敘事視為投機，卻可能保住檔案與交涉管道。
058 25 LEN 管道一旦斷裂，下一任再熱血也要從頭建立電話與面子。
059 28 LEN 面子在使館宴席、座位排序與照會稱謂裡，具體到可笑也致命。
060 29 LEN 禮賓細節常被當成主權溫度計，讀傳記不能只跳過這些「瑣事」。
061 28 LEN 山東主權爭議連接二十一條記憶，法律戰場其實疊著民眾恥感。
062 24 LEN 恥感動員能上街，卻不一定能在和會投票裡換成票數。
063 27 LEN 他必須把街頭語言翻譯成大會聽得懂的條約中文與法文邏輯。
064 27 LEN 翻譯失敗時，國內會覺得他不夠硬，國外會覺得他不夠現實。
065 25 LEN 雙重不討好是弱國代表的結構位置，不是單一個性缺陷。
067 27 LEN 對手不一定穿軍服，貸款條件也能決定你明天還能不能強硬。
068 33 ASCII 財政 diplom 與主權敘事綁在一起，使「說不」永遠有預算後果。
069 21 LEN 讀交涉要同時看金庫，否則會把無力寫成膽怯。
071 25 LEN 內在不可及，反而誠實，避免把複雜生涯寫成心理小說。
073 25 LEN 分裂年代裡，「代表中國」這句話的指稱對象不斷改寫。
075 29 LEN 鋪路工作包括法律備忘、人脈維持與讓中國聽起來像可合作國家。
076 28 LEN 可合作形象有時以壓抑激進主張為代價，後世容易只記住代價。
077 28 LEN 記住代價是正當的，但應同時看見當時可供選擇的清單有多短。
078 23 LEN 清單短，不表示沒有選擇；表示每個選擇都帶傷害。
079 27 LEN 傳記若只頌揚拒簽，會變成民族主義年鑑，而不是人物研究。
080 23 LEN 若只譴責歷仕多朝，會變成氣節教科書，同樣扁平。
081 29 LEN 較公允的讀法是把他當專業外交官，而不是當思想家或革命聖徒。
083 27 LEN 兩套倫理在二十世紀中國反覆對撞，他的生平是對撞的標本。
084 27 LEN 標本的價值在於顯示，現代外交如何成為一種可攜帶的技能。
085 28 LEN 技能可攜帶，忠誠卻被要求不可攜帶，這是悲劇也是謀生條件。
086 24 LEN 謀生條件寫進履歷，就會被後人用道德語言重新審判。
087 20 LEN 審判者若自己不必發電報，語氣通常最乾淨。
088 26 LEN 乾淨語氣值得警惕，因為它常省略借款、租界與武器差距。
089 18 LEN 差距在場時，修辭上的平等只是開場白。
090 27 LEN 開場白之後仍要討論膠濟鐵路、礦權與駐兵，句子立刻變臟。
091 21 LEN 臟的細節才是交涉，標題裡的「不」只是入口。
092 22 LEN 入口故事適合教科書，研究則要走進委員會紀錄。
093 22 LEN 委員會紀錄沉悶，卻能看見誰在何時放棄哪一條。
094 29 LEN 放棄哪一條往往決定誰在國內被罵，而不是誰在國際法上更自洽。
095 20 LEN 自洽很少是第一目標，存活與延續談判才是。
096 27 LEN 延續談判需要對手仍願意見你，因此形象管理變成專業核心。
097 24 LEN 形象管理包括服裝、英語腔調、晚宴話題與何時發怒。
099 26 LEN 私下斡旋才是多數條款真正成形的地方，公開會只是展示。
100 23 LEN 展示與密談的雙軌，使口述回憶充滿不能說的空白。
101 25 LEN 空白被家族、黨史與外國檔案各自填寫，讀者必須對讀。
103 28 LEN 國民黨需要他證明民國仍有外交傳統，也需要在適當時切斷他。
104 28 LEN 切斷與徵用可以在數年內互換，個人難以用氣節劇本一次演完。
106 28 LEN 國家需求說話時，個人內心即使有痛，也很少被允許寫進公報。
107 24 LEN 公報文體訓練了他，也限制了他能留下什麼第一人稱。
108 21 LEN 第一人稱回憶錄因此像經過禮賓司潤稿的自我。
109 24 LEN 潤稿不是簡單說謊，而是職業人格長期覆蓋私密人格。
110 25 LEN 傳記最難之處，是承認覆蓋本身就是這份職業的一部分。
111 29 LEN 承認之後，仍可追問他在哪些節點明顯越出業務，進入政治賭博。
112 25 LEN 總理職位就是一次賭博，專業技能被拿去填補派系窟窿。
113 26 LEN 填補失敗很快下台，說明外交聲望不能兌換成國內統治權。
114 26 LEN 聲望與權力的落差，是讀民初人物時最容易被忽略的結構。
115 23 LEN 結構解釋了為何他能名滿歐美，卻在北京常像客人。
116 28 LEN 客人地位使他更依賴外國承認來支撐國內位置，形成危險循環。
117 29 LEN 循環被政敵解讀成崇洋，被支持者解讀成國際化，詞彙已經開戰。
118 29 LEN 詞彙戰延續到今天的通俗史，傳記工作是把詞彙還原成職務年表。
119 22 LEN 職務年表枯燥，卻能抵抗一句評語吞掉九十八年。
120 25 LEN 九十八年裡多數日子是發電、改稿、等回音，不是演講。
122 26 LEN 日常恐懼比英雄時刻更能解釋為何要維持跨政權可雇用性。
123 28 LEN 可雇用性倫理上不漂亮，歷史上卻常見於邊陲國家的技術官僚。
124 20 LEN 把常見寫成獨特賣國，是把結構問題私人化。
125 26 LEN 私人化方便找壞人，不便於理解為何每個政權都還要找他。
127 20 LEN 重學成本太高，於是長樂老式人物反覆登場。
128 28 LEN 登場不是光榮，也不是羞恥的全部，而是現代中國的制度缺口。
129 28 LEN 制度缺口存在一天，專業外交官就會比意識形態純潔更被需要。
130 22 LEN 需要與尊敬不是同一件事，他得到前者多於後者。
131 27 LEN 後人讀時可練習把需要與尊敬分開，才不會急著加冕或定罪。
132 24 LEN 加冕與定罪都太快，年表與會議紀錄要求我們慢下來。
133 27 LEN 慢下來之後，巴黎燈光下的發言仍重要，但不再是唯一高潮。
134 26 LEN 高潮之外還有華府走廊、紐約會籍、倫敦宴會與重慶電報。
135 27 LEN 走廊與宴會不是腐敗點綴，而是弱國資訊與承諾的交易現場。
136 28 LEN 現場規則對律師出身的人較友善，對只會動員群眾的人較陌生。
137 23 LEN 友善並不保證勝利，只保證他有資格繼續坐在桌邊。
138 27 LEN 坐在桌邊有時就是全部目標，因為被請出房間等於主權無聲。
139 29 LEN 無聲的恐懼貫穿其生涯，也解釋他為何很少選擇徹底決裂的姿態。
140 26 LEN 徹底決裂能成就道德肖像，卻可能讓下一封照會無人接收。
141 27 LEN 無人接收時，人民的怒火仍然在，可操作的國際槓桿卻沒了。
142 26 LEN 槓桿意識讓他看起來冷，冷是這門職業對熱情的管理方式。
144 19 LEN 頻率對錯可以爭，翻譯勞動本身應被看見。
145 27 LEN 看見翻譯勞動，才不會把歷仕四朝簡化成馮道式的油滑笑話。
146 27 LEN 笑話很方便，人物研究則要求把每一朝的具體任務重新展開。
=== B69 n=143 ===
003 28 LEN 印度太大，任何一句「印度人都怎樣」在出門買菜時就會裂開。
009 29 LEN 十幾億人的尺度會讓統計平均變成一種暴力，個體被平均數吞沒。
013 29 LEN 最熟的語言才能罵、哄、講鬼故事，第二語言很難承擔夜間恐懼。
015 29 LEN 古吉拉特菜的甜、酸與油，對台灣口味是學習，不是風景明信片。
017 28 LEN 外來媳婦的第一堂課常是問可不可以進哪間廚房、用哪組餐具。
019 28 LEN 如何稱呼幫傭、是否同桌、剩菜給誰，都在演練日常的不平等。
023 28 LEN 排燈節的燈與甜食進入公寓走廊，信仰實踐貼著門牌號碼展開。
024 28 LEN 節慶不是觀光表演，而是親戚義務、開銷與婦女勞動的高峰期。
026 27 LEN 養貓在當地常被聯想到巫術與不吉，愛貓的人顯得像少數派。
030 27 LEN 喪禮節奏、誰能碰遺體、誰要守夜，讓孩子很早接觸有限性。
032 28 LEN 「我們不跟那類人吃飯」可能比憲法條文更決定星期天的菜單。
033 28 LEN 婚姻市場上的姓氏、籍貫與素食與否，往往比浪漫故事先上場。
034 28 LEN 外來媳婦被檢視的是能否生育、能否孝順、能否把口味改過來。
035 27 LEN 兩個孩子的教養把台灣經驗與古吉拉特期待放上同一張課表。
038 25 LEN 祖父母用方言講的家族笑話，翻譯成英語後笑點會蒸發。
043 27 LEN 巷子尺度能看見誰把糖借給誰，全國敘事則只看見暴動年份。
044 29 LEN 住得越久越不敢下結論，這與旅客三週就能寫「真相」正好相反。
046 28 LEN 反例通常來自婚禮、生病、開學與修水管，而不是來自導覽詞。
047 26 LEN 導覽詞喜歡泰姬瑪哈，家庭民族誌卻卡在奶鍋是否分葷素。
048 25 LEN 奶鍋問題無聊，卻比名建築更能預測誰會在節日被排除。
050 27 LEN 校正包括承認自己也曾帶著刻板印象入境，然後被日常打臉。
052 26 LEN 理工訓練讓她習慣求證，田野卻要求她忍受矛盾資料並存。
053 23 LEN 求證與忍受並存，寫成瑣記比寫成理論文章更誠實。
054 25 LEN 瑣記形式允許重複、疲倦與改口，這正是十年的時間性。
059 28 LEN 回婆家過節可能等於跨越階級與城鄉，行李裡裝的是禮物義務。
060 26 LEN 禮物義務計算得像會計，情感與面子都折算成甜食與金飾。
061 28 LEN 金飾不只是美，還是婦女可攜帶的儲蓄與婚姻契約的可見部分。
062 24 LEN 可見的契約讓外人覺得拜金，內部邏輯卻是風險管理。
063 27 LEN 風險包括疾病、失業與寡婦處境，珠寶有時比銀行更被信任。
064 25 LEN 銀行與金飾並存，顯示正式金融並未完全取代親屬保險。
066 26 LEN 不值一提的規則才是文化的骨架，因為無需解釋就已執行。
067 24 LEN 執行失敗時才出現解釋，民族誌常常靠尷尬場面開工。
068 27 LEN 尷尬場面包括穿錯衣服進廟、左手遞食、在素食家裡提到蛋。
069 24 LEN 蛋是否算素，在不同家庭能吵出神學，也能和平默認。
070 25 LEN 默認比吵鬧更常見，觀察者若只蒐集衝突會高估戲劇性。
071 21 LEN 高估戲劇性是媒體印度與旅遊印度的共同毛病。
072 28 LEN 她把鏡頭拉回洗衣機、補習班收據與貓砂，是在對抗那種毛病。
073 28 LEN 家務清單能揭示性別，誰半夜起床看水槽，誰被允許坐著指揮。
075 29 LEN 口頭開明與實踐保守並存時，媳婦要學會聽哪一句是可執行命令。
076 29 LEN 可執行命令常包在關心語氣裡，拒絕會被記成不懂事而不是獨立。
078 23 LEN 改裝不是投降，而是跨文化家庭裡常見的翻譯勞動。
079 21 LEN 翻譯勞動由婦女承擔時，疲勞很少被算出薪水。
080 29 LEN 兩國護照、簽證與孩子國籍選擇，把親密關係寫進移民官僚程序。
081 23 LEN 官僚程序的等待能重寫一個人對「家在哪」的感覺。
082 25 LEN 家在哪不只是情感，還是醫療、入學與遺產的法律地址。
083 27 LEN 法律地址與情感地址分裂時，小媳婦的身分會長期懸在中間。
084 25 LEN 中間位置讓她能比較，也讓兩邊都覺得她不夠像自己人。
086 26 LEN 不同詞彙背後是同一種焦慮，擔心下一代會流失味道與神。
087 25 LEN 味道與神透過節日食譜傳承，食譜因此是神學也是家譜。
088 22 LEN 她記錄食譜時其實在記錄誰有資格進廚房改火候。
089 24 LEN 改火候的權力比觀光客拍攝香料市集更接近生活政治。
090 34 ASCII 市集香料很好看，真正的限制是預算、停車與誰能在午後 comm 出門。
091 28 LEN 午後出門對婦女涉及安全傳聞、服裝與結伴，傳聞會縮小地圖。
092 25 LEN 地圖縮小不必等於囚禁，女性會發展捷徑、時段與聯盟。
094 24 LEN 群組裡傳的是哪家醫生、哪條路淹水，資訊密度極高。
095 26 LEN 高密度地方知識對抗的是把印度當成一片不可理解的熱帶。
096 25 LEN 不可理解是旁觀者的奢侈，住民必須明天還要去繳電費。
098 24 LEN 身體經驗先到，理論後到，這是微觀寫作堅持的順序。
099 25 LEN 順序顛倒就會用種姓大詞解釋每一次口角，造成假深度。
100 23 LEN 假深度對遠方讀者很過癮，對當事人則像被類型化。
101 21 LEN 她寫鄰居名字與巷口店家，是在把類型拆回人。
102 28 LEN 拆回人並不否認結構，而是要求結構必須能解釋這一家的晚餐。
103 18 LEN 晚餐解釋得通，結構才不是空轉的概念。
104 23 LEN 空轉概念常見於把印度當成西方現代性的反面教材。
106 29 LEN 商業傳統、海外古吉拉特社群與家鄉匯款，影響家中誰有發言權。
107 28 LEN 發言權有時跟著匯款走，有時跟著在地寺廟職務走，不可一概。
108 23 LEN 一概是她最警惕的動詞，十年只把它用在警告自己。
109 24 LEN 警告自己之後，仍要描述，否則謙卑會變成拒絕書寫。
110 29 LEN 描述的倫理是標明這是古吉拉特某一戶的十年，不是次大陸判決。
111 19 LEN 判決口吻最容易獲得分享，卻最背叛田野。
112 29 LEN 田野裡的貓生病、孩子發燒、節日缺糖，才是真正的情節推進器。
113 26 LEN 情節推進器很瑣碎，這正是書名裡「瑣記」要保衛的東西。
115 29 LEN 同一部片子裡總有貧民窟、瑜伽與神秘主義，中產廚房很少出鏡。
116 29 LEN 中產廚房出鏡後，讀者會發現潔淨焦慮與台灣家庭並非完全陌生。
117 18 LEN 陌生與熟悉交錯，比較才不會停在獵奇。
118 27 LEN 獵奇需要距離，共同的育兒失眠則把距離縮短到危險的程度。
119 28 LEN 距離縮短後仍要尊重差異，否則又會把對方寫成不夠好的自己。
120 28 LEN 不夠好的自己是最傲慢的比較，用台中標準打古吉拉特的分數。
121 29 LEN 打分數的衝動在十年後會減弱，改成想聽對方怎麼給自己打分數。
122 21 LEN 聽對方打分數時，台灣的秩序神話也會露出縫。
124 24 LEN 消費靈性卻拒絕印度的熱與吵，是把文化當保健食品。
125 29 LEN 保健食品式印度在都市教室很暢銷，巷子裡的印度則又熱又具體。
126 24 LEN 具體到哪口井、哪位舅舅、哪一次婚禮上誰沒被邀請。
127 26 LEN 沒被邀請的名單往往比被邀請的名單更能畫出種姓與嫌隙。
128 24 LEN 嫌隙不必上升到文明衝突，它可以只是去年借錢沒還。
129 28 LEN 把一切上升到文明，是懶惰；只談借錢則可能假裝結構不存在。
130 22 LEN 她走在兩者中間，用家庭日記的密度去拖住大詞。
132 19 LEN 被卡住的理論比較不像空運來的概念貨櫃。
133 25 LEN 貨櫃概念適合演講，蹲點筆記適合改正自己昨天的句子。
134 20 LEN 改正昨天的句子，是十年寫作真正的方法論。
135 29 LEN 方法論很樸素，就是住夠久、把貓養大、把孩子的口音聽成資料。
136 17 LEN 口音變化記錄遷移，比護照蓋章更細。
138 22 LEN 問題包括如何愛一個不完全屬於自己出生地的家。
139 36 ASCII 愛裡有抱怨、翻譯與妥協， ethnography 若刪掉抱怨會變成宣傳。
142 29 LEN 奇聞可以轉貼，工具則是以後面對任何大國時先停一下概括的手。
